sequence_identifier,Kingdom,Phylum,Class,Order,Family,Genus,
Otu1092,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,
Otu1093,Unclassified,,,,,,
Otu1094,Unclassified,,,,,,
Otu1095,Unclassified,,,,,,
Otu1096,Unclassified,,,,,,
Otu1097,Unclassified,,,,,,
Otu1098,Unclassified,,,,,,
Otu1099,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Candidatus Berkiella,
Otu1100,Bacteria,Firmicutes,Clostridia,Hungateiclostridiaceae,Ruminiclostridium,,
Otu1101,Unclassified,,,,,,
Otu1102,Bacteria,Proteobacteria,Gammaproteobacteria,CCM19a,,,
Otu1103,Unclassified,,,,,,
Otu1104,Unclassified,,,,,,
Otu1105,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,
Otu1106,Unclassified,,,,,,
Otu1107,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,uncultured,,
Otu1108,Bacteria,,,,,,
Otu1109,Bacteria,,,,,,
Otu1110,Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,
Otu1111,Unclassified,,,,,,
Otu1112,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,
Otu1113,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,
Otu1114,Unclassified,,,,,,
Otu1115,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
Otu1116,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,,
Otu1117,Unclassified,,,,,,
Otu1118,Unclassified,,,,,,
Otu1119,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,
Otu1120,Unclassified,,,,,,
Otu1121,Unclassified,,,,,,
Otu1122,Unclassified,,,,,,
Otu1123,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,
Otu1124,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,
Otu1125,Unclassified,,,,,,
Otu1126,Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,Obscuribacteraceae,,
Otu1127,Unclassified,,,,,,
Otu1128,Unclassified,,,,,,
Otu1129,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,
Otu1130,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5) clade,
Otu1131,Bacteria,MBNT15,,,,,
Otu1132,Unclassified,,,,,,
Otu1133,Unclassified,,,,,,
Otu1134,Unclassified,,,,,,
Otu1135,Unclassified,,,,,,
Otu1136,Unclassified,,,,,,
Otu1137,Unclassified,,,,,,
Otu1138,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,
Otu1139,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,
Otu1140,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,
Otu1141,Unclassified,,,,,,
Otu1142,Unclassified,,,,,,
Otu1143,Unclassified,,,,,,
Otu1144,Bacteria,Desulfobacterota,uncultured,,,,
Otu1145,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,,,
Otu1146,Unclassified,,,,,,
Otu1147,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,,
Otu1148,Unclassified,,,,,,
Otu1149,Unclassified,,,,,,
Otu1150,Unclassified,,,,,,
Otu1151,Unclassified,,,,,,
Otu1152,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,
Otu1153,Unclassified,,,,,,
Otu1154,Unclassified,,,,,,
Otu1155,Unclassified,,,,,,
Otu1156,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,
Otu1157,Unclassified,,,,,,
Otu1158,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,
Otu1159,Unclassified,,,,,,
Otu1160,Unclassified,,,,,,
Otu1161,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,uncultured,
Otu1162,Unclassified,,,,,,
Otu1163,Unclassified,,,,,,
Otu1164,Unclassified,,,,,,
Otu1165,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,
Otu1166,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
Otu1167,Unclassified,,,,,,
Otu1168,Unclassified,,,,,,
Otu1169,Unclassified,,,,,,
Otu1170,Unclassified,,,,,,
Otu1171,Unclassified,,,,,,
Otu1172,Unclassified,,,,,,
Otu1173,Unclassified,,,,,,
Otu1174,Unclassified,,,,,,
Otu1175,Unclassified,,,,,,
Otu1176,Unclassified,,,,,,
Otu1177,Unclassified,,,,,,
Otu1178,Unclassified,,,,,,
Otu1179,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,,
Otu1180,Unclassified,,,,,,
Otu1181,Unclassified,,,,,,
Otu1182,Unclassified,,,,,,
Otu1183,Unclassified,,,,,,
Otu1184,Unclassified,,,,,,
Otu1185,Unclassified,,,,,,
Otu1186,Unclassified,,,,,,
Otu1187,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,,
Otu1188,Unclassified,,,,,,
Otu1189,Unclassified,,,,,,
Otu1190,Unclassified,,,,,,
Otu1191,Unclassified,,,,,,
Otu1192,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,
Otu1193,Unclassified,,,,,,
Otu1194,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu1195,Unclassified,,,,,,
Otu1196,Unclassified,,,,,,
Otu1197,Unclassified,,,,,,
Otu1198,Unclassified,,,,,,
Otu1199,Unclassified,,,,,,
Otu1200,Unclassified,,,,,,
Otu1201,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,
Otu1202,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu1203,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,uncultured,,
Otu1204,Unclassified,,,,,,
Otu1205,Unclassified,,,,,,
Otu1206,Unclassified,,,,,,
Otu1207,Unclassified,,,,,,
Otu1208,Bacteria,Firmicutes,Clostridia,,,,
Otu1209,Unclassified,,,,,,
Otu1210,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Rickettsiella,
Otu1211,Unclassified,,,,,,
Otu1212,Unclassified,,,,,,
Otu1213,Unclassified,,,,,,
Otu1214,Unclassified,,,,,,
Otu1215,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,
Otu1216,Unclassified,,,,,,
Otu1217,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu1218,Unclassified,,,,,,
Otu1219,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,
Otu1220,Unclassified,,,,,,
Otu1221,Unclassified,,,,,,
Otu1222,Unclassified,,,,,,
Otu1223,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,
Otu1224,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Otu1225,Unclassified,,,,,,
Otu1226,Unclassified,,,,,,
Otu1227,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,,,
Otu1228,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,Pelosinus,
Otu1229,Unclassified,,,,,,
Otu1230,Unclassified,,,,,,
Otu1231,Unclassified,,,,,,
Otu1232,Unclassified,,,,,,
Otu1233,Unclassified,,,,,,
Otu1234,Unclassified,,,,,,
Otu1235,Unclassified,,,,,,
Otu1236,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
Otu1237,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,uncultured,
Otu1238,Unclassified,,,,,,
Otu1239,Unclassified,,,,,,
Otu1240,Unclassified,,,,,,
Otu1241,Unclassified,,,,,,
Otu1242,Unclassified,,,,,,
Otu1243,Unclassified,,,,,,
Otu1244,Unclassified,,,,,,
Otu1245,Unclassified,,,,,,
Otu1246,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,
Otu1247,Unclassified,,,,,,
Otu1248,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,
Otu1249,Unclassified,,,,,,
Otu1250,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,
Otu1251,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
Otu1252,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus Xiphinematobacter,
Otu1253,Unclassified,,,,,,
Otu1254,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured,
Otu1255,Unclassified,,,,,,
Otu1256,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,
Otu1257,Unclassified,,,,,,
Otu1258,Unclassified,,,,,,
Otu1259,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,
Otu1260,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,,,
Otu1261,Unclassified,,,,,,
Otu1262,Unclassified,,,,,,
Otu1263,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,,
Otu1264,Unclassified,,,,,,
Otu1265,Unclassified,,,,,,
Otu1266,Unclassified,,,,,,
